spa,guc
he estado casada,kasaatsü taya paalainka
he estado esperando,a'atapajüshi taya paala
he estado preocupada,ashatapatüsü taa'in paala
me he comprado un coche,ayalajushii taya wanee eje'etü
he comprado un coche,ayalajushii taya wanee eje'etü
he comprado un carro,ayalajushii taya wanee eje'etü
llame dos veces,eenajüshi taya piantua
ya la he corregido,tanaatüipa
ya hice mi parte,taa'inrüipa tü münakat tamüin
no hice nada,nnojotsü kasa taa'inrüin
no he hecho nada,nnojotsü kasa taa'inrüin
te he perdonado,too'ulaaipa tü pojuyaalaka toulia
tengo malas noticias,eesü kasachiki mojusu taküjaka achiki
estoy con diarrea,e'iijashi taya
tengo cagalera,e'iijashi taya
tengo evidencia,eesü tama'ana süchikanain
tengo las llaves,tama'anasü tü yaaweka
he oido suficiente,keraaipa taa'in sünain aapajawaa
he oido acerca de ti,taapajapüin püchiki
he oido rumores,taapapüin süchiki kasachiki
identifiquese,pi'iyata püyaawaseka
es tom canadiense,kanataajewai tom
esta tom involucrado en esto,eejachi tom sünain tüü
tom esta interesado,ke'ireesü naa'in tom
esta tom en camino,iseeichi tom wopulü
tom sigue aqui,aniiyüi tom ya'aya
estan todos aqui,yaashi naya napüshua'a
todos estan contentos,talatshi naya napüshua'a
ya estan todos listos,yapashii naya napüshua'a
es cierta su historia,shiimüin tü nüchikükaa
es complicado,kapüleesü
es bueno o malo,eesi anain je mojusu
es cosa buena o mala,wane kasa anasü je mojusu
ahora esta lloviendo,a'itüsü juyaka maaulü yaa
esta lloviendo ahora,a'itüsü juyaka maaulü yaa
es hora de comer,sükalia ekawaa müinma
hay alguien ahi,eesü wayuu yala
hay alguien,eesü wayuu ya'aya
este coche es nuevo,jeketü tü eje'enaka tüü
es importante,kojutusu ma'in
es aquel el tuyo,shia pümüinka tia
es oro puro,ooro shiimüin paashin
es de oro puro,ooro shiimüin paashin
es ese tu libro,shia tia tü pükaralo'utaseka
es ese tu objetivo,shia püchajaaka akuwa'ipa tia
es esa tu habitacion,shia eere putunkuin yala
esta listo el ba o,keraaipa tü awunajapüleeka
esta lista la torta,keraaipa tü tottaka
la tarta esta lista,keraaipa tattaraka
el cafe esta caliente,jaisü tü kepeinka
hay toque de queda,sükalia jimataa müinma yaa
este sombrero es tuyo,tü uwomaka tüü pümüin
esta esto fabricado aqui,tüü akumalaanüsü ya'aya
este es nuestro hotel,shia watunkuleeka yaa
es oro puro,ooro shiimüin paashin
esta libre este asiento,malu'ujünasat einaseka tüü
esta es tu cerveza,püsarüweesain tüü
este es tu vino,püwiinoin tüü
tu auto es negro,mütsiiyasü tü peje'enaka
tu esposa es alta,miyo'usenü tü püwayuuseka
no es emocionante,nnojotsü talatüin taa'in süka
no es patetico,kayarütsü ma'in
no es impresionante,nnojotsü ainkuuyain taa'in süka
eso no es de ellos,tüsa nnojotsü nakoroloin
no puede ser cierto,nnojotsü süpüla shiimüinjatü
cuesta demasiado caro,kojutale'esü ma'in
podria ser fatal,eesü süpüla ouktüin pia sünainje
lo paso mal,mojusu ma'in nukuwa'ipa
no es importante,nnojotsü kojutuin sukuwa'ipa
eso no importa,ja'itairua maliasat ne'e
no importa,ja'itairua
se hizo pedazos,apüsajaasü ne'e shi'ipawaichon
funciona en ambos sentidos,aneerü süpüla piamaleyan sukuwa'ipa
hay que hacerlo,joo'uya waa'inrüin
debe de ser verdad,eesü süpüla shiimüin
es una buena torta,jemetsü ma'in tü tottaka
es una cancion de amor,wane jayeechi tia süpüla amüraaja
es un perro peque o,wane erü jo'uuchon
es una mentira piadosa,wane alawaa motsosü
no es un reloj,nnojotsü waneein ka'iyaawatia
es nuestro destino,shia ne'e wakuwa'ipainjatüka
esta lloviendo ahora,a'itüsü juyaka müinma yaa
ahora esta lloviendo,a'itüsü juyaka müinma yaa
es de segunda mano,süma'anajatü wayuu paala
hoy es un dia soleado,ja'isü ka'ika so'uka'i
hoy hace sol,ja'isü ka'ika so'uka'i
hoy hace viento,eesü jouktai so'uka'i
no es un secreto,nnojotsü waneein pütchi ounjulaanüka
aun no se termina,nnojoyülia aja'lajaain
parece egipcio,müshi pia saa'in wanee ejipsio
se ve egipcio,müshi nia naa'in wanee ejipsio
me resulta familiar,te'rajayaakai saa'in
quizas podria resultar desagradable,eesü süpüla püle'erajüin ma'in
nunca paso,nnojotsü alatüin tia
ha llovido mucho,a'itashaatasü juyaka
cayo una lluvia torrencial,miyo'ushaatasü tü juyakat
llovio fuerte,kaüliashaatasü tü juyakat
llovio sin parar,masha'walaainsat tü juyakat
fue idea de tom,nümajala tom
era una mala idea,pütchi mojusu ne'e tia
aquello era un desastre,mojushaatasü sukuwa'ipa tüsa
fue un buen dia,analee ma'in tü ka'ika so'uka'i
era un libro nuevo,wane karalo'uta jeketüpüsü
era verde oscuro,wuittusü sümaa piyuushin
fue mi error,tasit tia
no daba problemas,nnojotsü aapüin ekeerawa
no habia ningun problema,nnojotsü eein kasachiki sünain
era nuestro secreto,shia pütchi nounjülapüko piamaleeyan
fue muy divertido,eeshi talatüin waa'in sünain
era tan obvio,ja'yashaatasü saa'u
fue sorprendente,ainkuusü waa'in sutuma
fue imprevisto,nnojotsüyaaje watüjaa aa'u
era muy peque o,jo'uuchonshi taya paala
estaba muy ventoso,jouktale'eushaatasü ka'ika tia
fue culpa tuya,püsirü tü alataka
no fue un sue o,nnojotsü waneein lapü
no estaba planeado,nnojotsü wachajaain akuwa'ipa
no hacia mucho calor,nnojotsü alin ma'in tü walatshika
fue muy bien,anashaatasü
paso muy bien,alatüsü anain tia
estuvo muy bien,anasü ma'in sukuwa'ipa
a tom le funciono,eesü aapain nümüin tom
ocurrira pronto,alateerü joolu'u
ocurrira en breve,alateerü maalü
pasara pronto,alateerü joolu'u
hoy es lunes,luune so'uka'i
es un poco debil,matsüinsai niakai
es un poco grasoso,shiistüsü jayatta'a
es un barco de carga,wane anua süpüla alü'üjaa jawatüsü
es un dia nublado,sirumasü ka'ika tüü
es un cumplido,pütchi anasü pümüin
es una conspiracion,wane emeejawa tüü
es un diccionario,wane pütchimaajatü
es un buen comienzo,wane o'tte'era süka anakaralu'u
es una buena historia,wane achiki kamalainsü
es una larga historia,wane achikimaajatü wattaa aalin
es una tarea simple,wane a'yatawaa mapüleesalu'u
es una simple tarea,wane a'yatawaa mapüleesalu'u
es un trabajo simple,wane a'yatawaa nnojotka kapüleein
es una habitacion peque a,wane atunkulee jo'uuchon
es una ley estupida,wane aluwatawaa nnojotka pansaain
es una historia real,wane achikimaajatü sulu'u shiimüin
todo es culpa mia,tasirü tia süpüshua'a
ya todo termino,aja'lajaasü kasa süpüshua'a
ya es tarde,aliikashaatasü müinma
ademas es mas barato,oo'ulaka müsüya jayatsii saa'in
es una emergencia,wane asha'pajawaa tüü
esta en urgencias,cha sulu'u eere mayein wayuu
es un piano viejo,wane piano laülaa
es un viejo piano,wane piano laülaa
hace frio fuera,aisü jemiai cha anooipa'a
hace frio afuera,aisü jemiai cha anooipa'a
es confidencial,pütchi wamüinjatü ne'e
esta oscuro aqui,piyuushisü ma'in ya'aya
esta oscuro fuera,piyuushisü ma'in cha anooipa'a
es facil para ti,mapüleesat püpüleerua
son las ocho y media,eesü maka jalapüshi mekiisalü sümaa shiyatapüna
es vivificante,anashaatasü süpüla asaa
finalmente se acabo,aja'lajaa müsia
por mi esta bien,saa'in tamüin anasü
ya termino,aja'lajaasü
es para turistas,süpüla ne'e waraittushiikana
se esta poniendo helado,asamatajaasü ma'in
se esta haciendo tarde,aliikakashaatasü wapüleerua
todo va bien,anasü süpüshua'a
es la naturaleza humana,shia ne'e sukuwa'ipa wayuukana
esta en mi bolsillo,cha sulu'u tawotsiiya
solo es un sue o,wane lapü ne'e
es solo un sue o,wane lapü ne'e
solo es una corazonada,taa'inmaajatü ne'e
es como un sue o,müsü saa'in wanee lapü
es el de mi hermano,shia nümüinka chi tawalakai
es de mi hermano,nümüin chi tawalakai
no es nada grande,nnojotsü miyo'ushaatain
no es nada importante,nnojotsü kojutuin ma'in saa'in
no es ningun secreto,nnojotsü waneein pütchi ounjulaanüka
no es un arma,nnojotsü waneein a'apüla
no es culpa mia,nnojotsü tasirüin
a mi no me mires,nnojo pi'irakain tamüin
no es mi estilo,nnojotsü takuwa'ipain
no es tan malo,nnojotsü mojuin ma'in
no esta tan lejos,nnojotsü wattain ma'in
no es lo mismo,nnojoleerü ayatüin
no es la misma cosa,nnojoleerü wanaawain sümaa
no es demasiado profundo,nnojotsü epetüin ma'in
no es demasiado tarde,nnojoyülia aliikashaatüin
no depende de mi,nnojoishi taya sünainpünain
no me corresponde,nnojotsü too'ulaküinjatü
es ahora o nunca,joolu'uinjatü je yüütale'ejerü
esta va por la casa,tüü wawalajeerü yaashikana miichipa
invita la casa,süwalajeerü yaashikana miichipa
esta en la mesa,cha saa'uje meesakalü
esta sobre la mesa,cha saa'uje meesakalü
es uno de esos,shia wanee sa'akaje tüsa
es uno de aquellos,shia wanee sa'akaje türairua
solo es un sue o,wane lapü ne'e
es solo un sue o,wane lapü ne'e
hoy es dia de pago,sükalia awalajawaa so'uka'i
probablemente sea tom,eesü süpüla niain tom
es discutible,eesü süpüla waashajai saa'u
llueve mucho,a'itashaatasü tü juyakat
esta lloviendo aqui,a'itüsü juyaka ya'aya
es muy duro,checheshaatasü ma'in
esta realmente ventoso,kaüliashaatasü tü jouktaika
es realmente ventoso,eeshaatasü jouktaika
esta nevando bastante,asamatajaasü tü mmapakat
esta nevando aqui,a'itüsü niewe ya'aya
es tan bello,anachonshi ma'in
es tan bella,anachonsü ma'in
es tan agradable aqui,anashaatasü ya'aya
esta empezando ahora,o'ttaasü müinma yaa
todavia es lunes,luuneyülia müinma
todavia esta cerrado,süttuyülia
aun esta subiendo,nayülia o'otooin
es el mismo sombrero,shia ne'e tü uwomaka
viene de molde,sükajatü wanee su'uyaakua
es muy tarde ahora,aliikashaatasü müinma yaa
eso es increible,anashaatasü ma'in
esta muy fragil,yüleeshaatasü ma'in
es muy obvio,ja'yashaatasü saa'u
es muy popular,e'tnajünashaanasü
hace calor aqui,aisü walatshi ya'aya
vale la pena intentarlo,eesü süpüla woo'ulaküin
no esta bien mentir,nnojotsü anain aküjaa alawaa
es tu hora de dormir,sükalia süpüla putunkainjachi
venga ven aqui,jalaichi jalaichi yaamüin
limitate a venir aqui,yüütaleeinjachi pia yaaje
solo hazlo lo mejor posible,paa'inra sümaa anain sukuwa'ipa
dale tiempo,paapaa ka'i sümüin
simplemente sigue hablando,ayataa pia sünain yootawaaka
dejame dormir,puu'ula tatunkai
limitate a escucharme,paapaja ne'e tanüiki
escuchame y punto,paapaja tanüiki shiainjatü ne'e tia
solo mira afuera,pi'iraka ne'e cha anooipa'a
coge una,paapaa waneeshi
limitate a coger una,paapaa ne'e waneeshi
hazlo poco a poco,paa'inra jayatta'a
dame la mano,che pajapü
no te me acerques,nnojo pürütkain tanainmüin
mantente alejado de mi,wattalu'u pia toulia
mantente alejada de mi,wattalu'u pia toulia
estate lejos de mi,wattalu'u pia toulia
mantengase alejado de mi,wattalu'u pia toulia
tenedlo presente,sotoo paa'in waneepia
tenganlo en cuenta,sotoo paa'in waneepia
manten tu frente en alto,yaletaa pikii waneepia
quedate con el abrigo puesto,puu'ula pünain tü püsheinka
los ni os son asi,ale'eyan nakuwa'ipa na tepichikana
ya te vale tom,shiataaja ne'e tom
toca la puerta,pütalejaa puatto'utka
deja a tom aqui conmigo,püpütaa tom tamaa
dejame llevarlo,puu'ula talü'üjai paala
deja que lleve eso,che talü'üjai türa
deja que lo lleve,puu'ula nülü'üjai
dejame terminar vale,puu'ula saja'lajaai tatüma paapüin
deja que termine no,puu'ula saja'lajaai tatüma nnojo
dejame intentarlo,puu'ulaka too'ulakai
dejame probarlo,che too'ulakai
dejame probar,che too'ulakai
dejame intentar,che too'ulakaiwa
permitame entrar,puu'ula tekerotai
permitame pasar,puu'ula taya tekerotai
dejame ver el menu,che te'rajaai paala tü aneekapüleeka
seamos creativos,joo'uya wakumajai süka wekii
entonces empecemos,joo'uya wo'tte'erai
hagamoslo de nuevo,joo'u waainjai süchukua'a
hagamos el trabajo,joo'u waainjai tü a'yatawaaka
terminemos esto,joo'u waja'lajeerai tüü
casemonos,joo'u kasaali waya
empecemos,joo'u wo'tte'erai
comencemos,joo'u wo'tte'erai
vamos al centro,joo'u sentropüna
vayamos y averigüemoslo,joo'uyaa otta we'rajaajerü sümüin
entremos alli,joo'uya wekerotai chamüin
vayamos a nadar,joo'u washuunajai paala
vamos hacia alla,joo'u chamüin chaaya
vayamos por aqui,joo'u yaapünai waya
vayamos juntos,pu'una wa'akapüna
vayamonos juntos,joo'uya wapüshua'a
echemos un vistazo,joo'u we'rajaai paala
cenemos,joo'u wekaai
vamonos a dormir,joo'u watunkuin
demonos prisa tom,joo'u washa'pajai tom
investiguemos,joo'u wasakirai süchiirua
vayamonos antes,joo'u palajana suulia
hagamos una torta,joo'u waainjai wanee totta
no lo escondamos,nnojo wounjulain
vamos a jugar al futbol,joo'u washaittajai futbol
demonos la mano,joo'u waapajirai wajapü
vamos cantemos una cancion,joo'u wee'irajaai wanee jayeechi
pasemos adentro,joo'u walatüi paülü'ümüin
echemos un vistazo,joo'u we'irajaai paala
tomemos un taxi,joo'u waapai wanee taxi
cojamos un taxi,joo'u waapai wanee taxi
hagamos un viaje,joo u wawaraijai
echemos una moneda al aire,joo'u wojutai wanee neerü iipünamüin
probemos a leer,woo'ulakai paala aashaje'eraa
la vida es bella,anachonsü tü katawaaka o'u
la vida es hermosa,anachonsü tü katawaaka o'u
la vida es dura,kapüleesü ma'in tü katawaaka o'u
la vida es divertida,tü katawaaka o'u süpülajatü talataa
la vida es cara,kojutusu ma'in tü katawaaka o'u
la vida es tan injusta,nnojotsü pansaain tü katawaaka o'u
la vida es demasiado corta,nnojotsü ne'e kama'ain wakuwa'ipaka sulu'u mmakat
la vida es muy dura,kapüleesü ma'in tü katawaaka o'u
la vida es maravillosa,anashaatasü tü katawaaka o'u
vive y deja vivir,oo'ulawaa otta müsia oo'ulaa nakuwa'ipa
vivir no es facil,kapüleesü ma'in tü katawaaka o'u
mucho tiempo sin vernos,kakaliashaatashi waya me'rajiraain
ha pasado mucho tiempo,kakaliashaatasü
mira el precio,pi'iraka süliaka
mira que lio,pi'iraka tü kasachikika saa'u
cuidado con las abejas,jalia paa'in suulia ko'oi
el amor vence todo,tü aijirawaaka sükanajüin kasa süpüshua'a
el amor es complicado,tü aijirawaaka kapüleesü ma'in
el amor es confuso,maa'awasü wayuu sutuma aijirawaaka
haz una prediccion,püshantajaa müinma
decidete,püneeka pukuwa'ipaka
maria tiene ojos grandes,miyo'u ma'in so'uirua maria
mary tiene los ojos grandes,miyo'u ma'in so'uirua maria
mary es hermosa,anachonsü ma'in maari
mary es mi madre,maari shia teika
maria es tan linda,anachechonsü ma'in maari
mary es vivaracha,tütüsü ma'in maari
mary es vivaz,tütüsü ma'in maari
mary era un marimacho,toole aa'in maari paalainka
mary era un chicazo,toole aa'in maari paalainka
que dios te bendiga,kasataleejese anain pukuwa'ipa nutuma ma'leiwa
puedo irme a nadar,eesü süpüla to'unuin tashuunajai
puedo ponerlo aqui,eesü süpüla te'itaai ya'aya
puedo tomar un descanso,eesü süpüla teemerai paala
puedo hablar con tom,eesü süpüla taashajai paala nümaa tom
puedo hablar con vosotros,eesü süpüla taashajai paala jamaa
puedo probarme esto,eesü süpüla too'ulaküin tüü tanain
quiza tom esta muerto,eesü süpüla ouktüin tom
tal vez es una trampa,eesü süpüla ouktüin tom
tal vez podamos conversar,eesü süpüla yootüin waya paala
la carne es cara,tü asalaaka kojutusu
cuida tus modales,paa'inmajaa tü pünüikika
mama compro manzanas,tü teika ayalajüsü mansaana
mama ha puesto la mesa,tü teika shi'itaain meesakalü
el lunes no va bien,luuneka tüü nnojotsü anain
tengo los brazos cansados,tü tatünakalirua mapüsasü
mis brazos se entumecieron,mapüsajaasü tü tatünakalirua
me robaron mi mochila,a'luwajünüsü tü takatto'ui
mis perros son blancos,tü erükalirua kasuutotnu
me pican los ojos,sütüsü to'ukalirua
tengo los ojos cansados,mapüsasü to'urua
mi padre esta ocupado,kupaashi chi tashikai müinma
mi padre esta en casa,chi tashikai cha miichipa'a
mi padre es rico,washirü chi tashikai
mi padre es alto,miyo'usenuu chi tashikai
mi vaso esta vacio,malü'üsat tü tasieinka
tengo las manos atadas,aüttaanüsü tü tajapükalirua
me duele el corazon,aisü tü taa'inka
me arde el corazon,chuwatüsü tü taa'inka
mi aficion es la musica,kamalainshaatasü tamüin tü jayeechikana
mi caballo es negro,tü ta'amainka mütsiiyasü
mi caballo es blanco,tü ta'amainka kasuutolu
mi casa esta vacia,malü'üsat tü tepiaka
mi casa es peque a,jo'uuchon ma'in tü tepiaka
mi vida es aburrida,akulajaasü ma'in tü takuwa'ipaka
no me llamo tom,nnojotsü tom tanülia
mis zapatos han desaparecido,machikisat tü tasatatseka
me duele el hombro,aisü tü tasapüka
tengo el estomago lleno,emirashaatale'eshi taya
tengo la panza llena,emirashaatasü tü tale'eka
mi tio esta enojado,jashichishi chi talaülaakai
mi tio esta enfadado,jashichishi chi talaülaakai
mi mujer se encontraba alli,tü tawayuuseka chajatü chaaya
mi mujer estaba alli,chajatü tawayuuseka chaaya
nadie abrazo a tom,nnojoishi eein jaralii ako'ojooin nünain tom
nadie vive aqui,nnojoishi jaralin kepiain ya'aya
aqui no vive nadie,nnojotsü wayuu kepiain ya'aya
nadie confia en el,nnojoishi jaralin anoujain nümaa
no no ayude,nnojo nnojo pükaalijain
nadie le ayudo,nnojoireesü jaralii akaalijain nia
nadie la ayudo,nnojoireesü jaralii akaalijain nia
nadie abrazo a tom,nnojoishi eein jaralii ako'ojooin nünain tom
nadie es perfecto,nnojoishi eein jaralii anain nukuwa'ipa
nadie es infalible,nnojoishi jaralin o'tchejain nukuwa'ipa
nadie lo sabe,nnojotsü jaralii atüjaain saa'u
nadie vive aqui,nnojoishi jaralii kepiain ya'aya
aqui no vive nadie,nnojotsü jaralii kepiain ya'aya
nadie se ofrece voluntario,nnojoishi jaralii a'yataweein sünain tia
nadie fue ahi,nnojoishi jaralii o'unuin chamüin
nadie se esta riendo,nnojoishi jaralii asirajüin
nadie ha visto a tom,nnojoishi jaralii e'rüin tom
nada se ha movido,nnojotsü kasa ansülaain
nada estuvo mal,nnojotsü kasa mojuin
nada estaba mal,nnojotsü kasa mojuin paala
nada va a ayudar,nnojoleerü kasa akaalijain
no funciona nada,nnojorüleesü kasa anain yaaje
ahora me siento culpable,mojujaasü joo taa'in süka tasirüin shia
ahora depende de mi,joolu'u süchiruainjatü tü taneekalaka
ahora me corresponde a mi,joolu'u taya aapainjachikai
ahora pon atencion,joolu'u pi'iraka yaamüin
ahora estamos hablando,joolu'u aashajaashi waya müinma
y ahora que hacemos,jama joolu'u kasa waa'inrüinjatü
bueno hasta luego,aja saa'u wanee ka'i
una vez mas por favor,puu'ulaka süchukua'a analu'ut saa'u
los opuestos se atraen,na waneejatüka aa'in arütkiraashi
nuestra barca volco,wa'anuain emerojoosü
nuestro bote zozobro,wa'anuain emerojoosü
se nos acabo el dinero,aja'lajaasü neetka wo'ulia
paga lo que tu quieras,püwalaaja tü jee'ireeka paa'in
la gente es estupida,na wayuukana malashii
por favor tene paciencia,analu'ut saa'u jimataa paa'in
por favor tenga paciencia,analu'ut saa'u jimataa paa'in
por favor ten paciencia,analu'ut saa'u jimataa paa'in
por favor llame de nuevo,analu'ut saa'u peenaja süchukua'a
por favor ven de nuevo,analu'ut saa'u jalaichi püchukua'a
por favor ven otra vez,analu'ut saa'u jalaichi püchukua'a
por favor no pares,analu'ut saa'u nnojo püsha'walaain
no hables por favor,nnojo paashajain analu'ut saa'u
explicamelo,pükujaa soo'omüin tamüin
explicate,pükujaa süpüshua'a saa'uje
puedes explicarte,eesü süpüla pükujain süka anain sukuwa'ipa
por favor perdoname,analu'ut saa'u motoo paa'in taainjala
perdoneme por favor,motoo paa'in taainjala analu'ut saa'u
debe perdonarme,motuinjatü saa'in taainjalaka
por favor dejame pagar,analu'ut saa'u puu'ula tawalaajai
reconsidera tu postura,jülüja paa'in süchukua'a tü pünüikika
por favor enciendelo,analu'ut saa'u puchuwajaapan
por favor espera un poquito,analu'ut saa'u pa'atapaja motsomüin
envuelvalo por favor,püjo'ojopan analu'ut saa'u
tapa esa gotera,kerousha putuma eere shikerotüin wüin
tapad esa gotera,kerousha putuma eere shikerotüin wüin
tape esa gotera,kerousha putuma eere shikerotüin wüin
tapen esa gotera,kerousha jatuma eere shikerotüin wüin
los poetas escriben poemas,na ashajuliikana anachonsü ashajuushi pütchi anasü
hazte pasar por mi,mayaainjatü pia müinka taa'in
los precios estan subiendo,o'otoosü soo'omüin tü süliaka
ponelo en mi escritorio,pi'itaa saa'u meesakalü
pongalo alli,pi'itaa yala
ponte tus zapatos,pa'anaa pasapaatshe
apaga la luz,piyokojoo tü luusaka
apague la luz,piyokojoo tü luusaka
baja tu arma,püshakateera tü pa'apülaka
baja el arma,püshakateera tü a'apülaka
arriba las manos,piyaleraa pajapü
ponte tus zapatos,pa'anaa pasapaatshe
para de molestarme,nnojo püke'ejüin taa'in
deja de quejarte,nnojo kekeraain paa'in
lealo otra vez,paashaje'era süchukua'a
las rosas tienen espinas,tü süsiika roosa keipüsesü
las alfombras absorben el sonido,tü süpa'apünaaka epia saapain tü epijanaka
dilo en ingles,maa sulu'u inküleenaiki
digalo en ingles,maa sulu'u inküleenaiki
decidlo en ingles,püküjaa sulu'u inküleenaiki
diganlo en ingles,püküjaa sulu'u inküleenaiki
dimelo a la cara,püküjaa to'upalapünaa
di lo que quieras,püküjaa tü ke'ireeka paa'in
atornillalo firmemente,püchecheraa tü totniiyaka
te vere en boston,te'reechi pia boston
hasta la proxima semana,meerü tü semaanaka anteetkalü
te veo la proxima semana,te'reechi pia sünain semaanaka anteetkalü
nos vemos el lunes,te'reechi pia luuneolu'u
enviamelo ahora,puluwataa tamüin joolu'u
mandamelo ahora,puluwataa tamüin joolu'u
comio una manzana,shikaain wanee mansaana
se volvio famosa,etnaajünashaanasü shiakat joolu'u
ella empezo a cantar,o'tta'asü shiakat sünain ee'irajaa
ella debuto,oo'ulakaasü shiakat
ella puede manejarlo,eesü süpüla sülü'üjain shiakat
ella puede saltar alto,shiaka sütüjain awataa iipünaashaatasü
no puede hacerlo,isasü süchiki süpüla saa'inrüinjatü
ella cocina para el,shiaka a'lakajaasü nümüin niakai
ella decidio ir,shiaka saapain saa'in süpüla o'unaa
ella si vino aqui,yaajatü shiakat paala
ella lo hizo con facilidad,mapüleesalu'u sümüin shiaka
ella no respondio,nnojotsü asouktain shiaka
no respondio,nnojotsü asouktüin
ella no fue lejos,shiaka nnojotsü o'unuin wattamüin
ella murio del shock,shiaka ouktusu sünain moo'oin shikii
ella me vuelve loco,mamainnashi taya sutuma shiakat
ella le emborracho,shiperajirüin shiaka
ella tiene una bicicleta,eesü süma'ana shiaka wanee siküleeta
tiene una bicicleta,eesü nüma'ana wanee siküleeta
ella tiene una fotografia,eesü wanee ayaakuwa süma'ana
ella tiene los ojos azules,wuittusu so'uirua shiaka
ella tiene el pelo largo,miyo'u ma'in tü su'walakat shiaka
tiene el pelo largo,miyo'u tü su'walakat
ella tiene el cabello largo,miyo'u ma'in tü su'walakat shiaka
tiene pelo largo,miyo'u tü su'walakat
tiene buenas piernas,anasü ma'in tü süsakalirua
no tiene figura,me'irukusat
no tiene tipo,mayaawasesü
no tiene planta,nnojotsü wunu'u süma'ana
ella odia las zanahorias,shiakat nnojotsü shikaajüin tü sanaooriaka
ella odia correr,shiaka matüinsat awataa
le oyo llorar,naapüin sünain ayalajaa
ella es agresiva,shiaka katkaarai
es atractiva,anachonsü ma'in pia
ella es su amiga,shiakat sutünajütun
ella es su amiga,shiakat sutünajütun
ella tiene a os,juya suuyashe shiakat
ella no esta casada,shiakat nnojoyülia kawayuusein
ella no esta corriendo,shiakat nnojotsü awataain
ella guarda los secretos,shiakat matüjansat aküjaa pütchi
ella dejo la habitacion,shiakat supüttuin eere sutunkulein
le gustan las naranjas,nikaajüin naranjakalirua
le gusta cantar,kamalainsü nümüin ee'irajaa
a ella le gusta cantar,kamalainsü sümüin shiakat ee'irajaa
ella miro alrededor,shiakat eirakaasü sainküinpüna
ella lucia sola,sümüiwakai saa'in
ella parece desgraciada,mojuyaakai saa'in shiakat
le encanta pescar,kamalainsü sümüin olojoo jime
ella lo hizo rico,jemetashaatasü ma'in sutuma
ella me apresuro,süsha'paje'erüin taya
ella me hizo apurar,süsha'paje'erüin taya
me hizo sonreir,asirajüshii taya sutuma
ella se caso joven,shiakat kasaatsü majayülüiwa
ella podria ser francesa,eesü süpüla püransejewai shiakat
ella debe estar enfadada,eesü süpüla jashichin shiakat
ella debe estar enojada,eesü süpüla jashichin shiakat
ella tiene que ir alli,shiakat o'unuinjatü chamüin
ella debe ir alli,shiakat o'unuinjatü chamüin
ella lo vio sonreir,shiakat shiirüin sünain nüsirajüin
ella le vio sonreir,shiakat shiirüin sünain nüsirajüin
ella se ve emocionada,ja'yasü saa'u talatüin saa'in shiakat
ella le sonrio,asirajüshii shiakat nümüin
ella le sonrio a el,asirajüshii shiakat nümüin niakai
habla aleman,aashajaashi naya sulu'u aleman
ella habla polaco,aashajaasü shiakat polako
ella habla en voz alta,shiakat aashajaasü sünain emetuluin sünüiki
ella hablo rapido,shiakat ka'alapüsü sünain aashajaa
ella la aterrorizaba,motshaatapüsü shiakat
ella le aterroriza,motshaatapüsü shiakat
ella lo echo a el,shiakat sojonoin niakai yaaje
ella intento nadar,shiakat suu'ulaküin ashuunakawaaka
ella trato de nadar,oo'ulakaasü shiakat ashuunaja
ella estaba deprimida,mojushaanapüsü saa'in
ella salio de compras,ojuittusu shiakat sünain ayaata
ella subio la escalera,aliikajaasü shiakat sünain kaleerapüna
ella fue con el,o'unusü shiakat nümaa
ella iba con el,o'unataaireje shiakat nümaa
lloro amargamente,ayalajüshi sünain üttüin naa'in
ella no lo conseguira,nnojoleerü süntüin anain
ella es un poco ingenua,matüjainyaakai saa'in shiakat
es un ave nocturna,wane wuchii kajunarai aipa'awai
ahora es una mujer,jierajaashi joolu'u
solo es una ni a,wane nintulu ne'e shiakat
ella tiene estilo,sütüjaa aa'u sukuwa'ipa
es de francia,chejewai püransia
ella tiene un buen punto,anasü ma'in tü shikiirüka
ella es hiperactiva,mejimalainsat shiakat
ella no es ni a,shiakat nnojotsü jintuluin
no es una ni a,nnojotsü jintuluin
no es mi tipo,nnojoishi kamalain tamüin
ella tiene la mente abierta,jutatsü tü shikiika shiakat
ella es nuestra profesora,shiakat shia ekirajaatka waya
ella esta completamente desnuda,maichereesat shiakat
todavia es joven,jima'ayülia niakai
ella se sonroja,ishojaashi shiakat
ella esta inconsciente,ouktapünaasü shiakat
esta inconsciente,ouktapünaasü
ella es muy guapa,anachonsü ma'in shiakat
es muy guapa,anachonsü shiakat
deberia decirselo,acheküshi püküjüin sümüin
muestrame esa lista,pi'iyataa tü anüliamaajatüka
muestrame el dinero,pi'iyataa tamüin tü neetka
muestreme el dinero,pi'iyataa tamüin tü neetka
muestrenme el dinero,ji'iyataa tamüin neetka
mostrame el dinero,pi'iyataa tamüin tü neetka
ense ame la fotografia,pi'iyataa tamüin tü ayaakuwaka
callate y hazlo,ko'utaa pia pia otta paa'inraa
firme aqui por favor,püshajaa ya'aya analu'ut saa'u
firma aqui por favor,püshajaa ya'aya analu'ut saa'u
firmen aqui por favor,jashajaa ya'aya analu'ut saa'u
firmad aqui por favor,jashajaa ya'aya analu'ut saa'u
el silencio es oro,tü yüütawaaka müsü saa'in ooro
el silencio vale oro,tü yüütawaaka müsü saa'in ooro
